id,store_id,year_recorded,unit,civic_number,street_name,name,category,latitude,longitude
94,2289,2020,N/A,508,DAVIE ST,Nuba Restaurant Group Inc,Food & Beverage,49.27577554498922,-123.12494132258297
95,2295,2020,N/A,580,DAVIE ST,Vacant,Vacant,49.27614294595592,-123.1252108170835
96,2297,2020,N/A,594,DAVIE ST,Royal Vape Inc,Convenience Goods,49.27614294595592,-123.1252108170835
97,2300,2020,N/A,620,DAVIE ST,Manoush'eh,Food & Beverage,49.27661580200485,-123.12568082344094
98,2307,2020,N/A,700,DAVIE ST,Blenz Coffee,Food & Beverage,49.27722958008942,-123.1266680104921
99,2308,2020,N/A,708,DAVIE ST,Numero Uno Pizza,Food & Beverage,49.27722958008942,-123.1266680104921
100,2309,2020,N/A,712,DAVIE ST,BC Produce,Convenience Goods,49.27722958008942,-123.1266680104921
101,2314,2020,N/A,746,DAVIE ST,Body Energy Club Ltd,Convenience Goods,49.27735324868997,-123.12730553863715
102,2321,2020,N/A,809,DAVIE ST,Topdrawers Apparel Inc,Comparison Goods,49.2783027028566,-123.12696559832357
103,2323,2020,N/A,819,DAVIE ST,Javan Exchange,Service Commercial,49.2783027028566,-123.12696559832357
104,2324,2020,N/A,823,DAVIE ST,Ace High Barber Shop Ltd,Service Commercial,49.2783027028566,-123.12696559832357
105,2330,2020,N/A,855,DAVIE ST,Breka Bakery and Cafe Inc,Food & Beverage,49.27849937630124,-123.12749330080725
106,2332,2020,N/A,903,DAVIE ST,Sushi Mugen,Food & Beverage,49.27885882652114,-123.1280489155382
107,2333,2020,N/A,904,DAVIE ST,7-Eleven Store,Convenience Goods,49.27836105661689,-123.12856559763067
108,2339,2020,N/A,937,DAVIE ST,ABC Jewellery & Loan Pawnbrokers Ltd,Comparison Goods,49.27908390295987,-123.12876943452235
109,2350,2020,N/A,450,GRANVILLE ST,Trees Organic Coffee Co,Food & Beverage,49.28473749608962,-123.11441549633143
110,2356,2020,N/A,480,GRANVILLE ST,Dunns Tailor,Comparison Goods,49.28473749608962,-123.11441549633143
111,2358,2020,N/A,524,GRANVILLE ST,Moore's,Comparison Goods,49.28405605203843,-123.1151700269459
112,2362,2020,N/A,541,GRANVILLE ST,Subway,Food & Beverage,49.28436310165463,-123.11594244835692
113,2363,2020,N/A,545,GRANVILLE ST,Smak Healthy Fast Food,Food & Beverage,49.28436310165463,-123.11594244835692
114,2367,2020,N/A,574,GRANVILLE ST,Cafe Crepe,Food & Beverage,49.28373930928332,-123.11564843483815
115,2368,2020,N/A,586,GRANVILLE ST,Shoppers Drug Mart #2277,Convenience Goods,49.28351997406178,-123.11598007755025
116,2369,2020,N/A,609,GRANVILLE ST,Meinhardt - Pacific Centre,Convenience Goods,49.28340057698826,-123.11775140601347
117,2371,2020,N/A,610,GRANVILLE ST,Steve Nash Fitness World,Entertainment and Leisure,49.28312404797613,-123.11657971526182
118,2372,2020,N/A,620,GRANVILLE ST,Yedina,Comparison Goods,49.28312404797613,-123.11657971526182
119,2375,2020,N/A,640,GRANVILLE ST,Judith & Charles,Comparison Goods,49.28312404797613,-123.11657971526182
120,2377,2020,N/A,670,GRANVILLE ST,FYI Eye Care Services,Comparison Goods,49.28312404797613,-123.11657971526182
