id,address,category,name,latitude,longitude
161,590 W 65th Av,Public School,Sir Wilfrid Laurier Annex,49.2107179951,-123.1194453
162,5970 Selkirk St,Public School,Sir William Osler Elementary,49.2307624221,-123.13266216
163,5351 Camosun St,Public School,Southlands Elementary,49.2381375851,-123.19781516
164,450 E 47th Av,Independent School,St Andrew's,49.2272136115,-123.09585589
165,2145 W 8th Av,Independent School,St Augustine's,49.2651725515,-123.153552243
166,870 Victoria Drive,Independent School,St Francis of Assisi,49.2768816347,-123.065048589
167,4175 W 29th Av,Independent School,St George's School,49.2475822675,-123.198464964
168,3261 Fleming St,Independent School,St Joseph's,49.2559144082,-123.071647052
169,2953 E 15th Av,Independent School,St Jude's,49.2565457867,-123.042626728
170,727 Templeton Drive,Public School,Templeton Secondary,49.2784390931,-123.06069106
171,5400 Cartier St,Independent School,Vancouver College DL,49.2349594188,-123.136171334
172,5621 Killarney St,Independent School,Vancouver Formosa Academy,49.2337474211,-123.04636736
173,2600 E Broadway,Public School,Vancouver Technical Secondary,49.2607554751,-123.05129984
174,1000 E 59th Av,StrongStart BC,Walter Moberly StrongStart Centre,49.2161092301,-123.08434542
175,6111 Elliott St,Public School,Waverley Elementary,49.2278372251,-123.05578593
176,6111 Elliott St,StrongStart BC,Waverley StrongStart Centre,49.2278372251,-123.05578593
177,4157 Oak St,Independent School,Westside Montessori,49.2485741268,-123.128000105
178,3155 E 27th Av,Public School,Windermere Community Secondary,49.2465124561,-123.0371743
179,3274 East Boulevard,Independent School,York House Little School,49.2567099991,-123.152101
180,3400 Balaclava St,Public School,Carnarvon Community Elementary,49.2565874213,-123.173557239
181,6955 Frontenac St,Public School,Champlain Heights Community Elementary,49.2206403011,-123.02774835
182,1010 E 17th Av,Public School,Charles Dickens Elementary,49.2548545,-123.082390633
183,2684 E 2nd Av,Public School,Chief Maquinna Elementary,49.2678863131,-123.05058984
184,3417 Euclid Av,StrongStart BC,Collingwood StrongStart Centre,49.2363485991,-123.032313
185,1580 W Broadway,Public School,Continuing Ed SD 39,49.2632998823,-123.14026052
186,8370 Cartier St,Public School,David Lloyd George Elementary,49.2099624111,-123.13634891
187,7455 Maple St,Public School,Dr R E McKechnie Elementary,49.2177065891,-123.15401133
188,5025 Willow St,Public School,Eric Hamber Secondary,49.2396309611,-123.12579096
189,900 School Green,Public School,False Creek Elementary,49.2671031111,-123.12685921
190,2740 Guelph St,StrongStart BC,Florence Nightingale StrongStart Centre,49.2600593241,-123.09371757
191,1025 Slocan St,Public School,Garibaldi Annex,49.2754163911,-123.05026877
192,3745 W 28th Av,Independent School,Immaculate Conception School,49.2475906125,-123.187707519
193,801 E 54th Av,StrongStart BC,John Henderson StrongStart Centre,49.2210421431,-123.08804322
194,3250 W 43rd Av,Public School,Kerrisdale Annex,49.2328679991,-123.177405
