stop_id,stop_code,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
12036,61917,Westbound W Pender St @ Howe St,BUS ZN,49.285131,-123.115432,2663,67.35976478636206
12034,61925,Waterfront Station,ZN 1,49.285687,-123.111773,2796,85.38124078323806
361,50357,Southbound Alma St @ W 10 Ave,BUS ZN,49.26367,-123.186028,355,49.09649235172912
10439,58762,Southbound Fraser St @ SE Marine Dr,BUS ZN,49.211303,-123.091221,3623,68.60267625767253
10180,59576,Northbound N Boundary Rd @ Eton St,BUS ZN,49.287718,-123.023214,6557,34.02036496592428
1159,51150,Eastbound Kingsway @ McKinnon St,BUS ZN,49.234792,-123.037515,5983,68.76450328858486
1158,51149,Eastbound Kingsway @ Rupert St,BUS ZN,49.235786,-123.041963,5786,59.45890793539904
1154,51145,Eastbound Kingsway @ Miller St,BUS ZN,49.246687,-123.06866,4613,19.419925732152123
1157,51148,Eastbound Kingsway @ Killarney St,BUS ZN,49.236159,-123.045333,5675,48.06988640919877
1156,51147,Eastbound Kingsway @ Earles St,BUS ZN,49.23728,-123.048397,5557,94.38087026543764
1151,51142,Eastbound Kingsway @ Knight St,BUS ZN,49.249736,-123.075484,4279,93.6647257295619
1150,51141,Eastbound Kingsway @ Clark Dr,BUS ZN,49.250834,-123.077633,4189,52.40715935569809
1153,51144,Eastbound Kingsway @ Perry St,BUS ZN,49.247719,-123.070924,4506,73.23719657199442
1152,51143,Eastbound Kingsway @ Dumfries St,BUS ZN,49.24866,-123.072988,4418,67.65339145992108
8035,57960,Waterfront Station Northbound,ZN 1,49.286063,-123.111306,2796,187.0586405367836
8034,57959,Waterfront Station Unload Only,WCE1Z,49.286116,-123.111512,2796,187.11397210673374
8039,57964,Waterfront Station @ Platform 2,ZN 1,49.285907,-123.111578,2796,139.88739758745095
8038,57963,Waterfront Station Southbound,ZN 1,49.286137,-123.111403,2796,196.57058924401198
12581,60342,Southbound Cambie St @ W Georgia St,BUS ZN,49.279676,-123.112876,2738,91.96811732766942
12585,50137,Eastbound W 41 Ave @ Cambie St,BUS ZN,49.233415,-123.115623,2641,84.93520001856918
10047,59393,Westbound Beach Ave @ Hornby St,BUS ZN,49.275543,-123.132974,1964,51.61941497476925
10433,59940,Westbound Stadium Rd @ West Mall,BUS ZN,49.25498,-123.24893,8,4925.770976693292
8139,58042,Kootenay Loop @ Bay 2,BUS ZN,49.281495,-123.026062,6457,100.99457999861245
151,50151,Northbound Main St @ E 49 Ave,BUS ZN,49.225975,-123.10147,3180,73.73856236289922
150,50150,Northbound Main St @ E 51 Ave,BUS ZN,49.223638,-123.101593,3178,30.534201856638138
152,59842,Northbound Main St @ E 46 Ave,BUS ZN,49.228719,-123.101386,3191,59.63979237688743
155,50155,Northbound Main St @ E 41 Ave,BUS ZN,49.233445,-123.101394,3189,40.889171718163006
154,50154,Northbound Main St @ E 43 Ave,BUS ZN,49.231454,-123.101306,3197,42.46901486939829
157,50157,Westbound W 41 Ave @ Ontario St,BUS ZN,49.233269,-123.106197,3003,84.9618004699827
158,50158,Westbound W 41 Ave @ Columbia St,BUS ZN,49.233442,-123.11122,2831,76.82613894513739
10374,60825,VCC-Clark Station @ Platform 2,ZN 1,49.265799,-123.079054,4134,70.55713482629059
10375,60824,VCC-Clark Station @ Platform 1,ZN 1,49.265873,-123.079049,4134,58.72843496131131
10371,59783,Northbound Boundary Rd @ E Kent Ave North,BUS ZN,49.203898,-123.023178,6560,32.69497995161382
10513,60014,Westbound Expo Blvd @ Nelson St,BUS ZN,49.274765,-123.116234,2658,44.56285490245445
690,50683,Southbound Nanaimo St @ E Broadway,BUS ZN,49.261831,-123.056764,5188,74.20696752895057
8860,58130,Rupert Station @ Bay 1,BUS ZN,49.260804,-123.033608,6134,241.35177475166074
818,50811,Southbound Oak St @ W 57 Ave,BUS ZN,49.218926,-123.128765,2141,66.56370848454966
819,50812,Southbound Oak St @ W 59 Ave,BUS ZN,49.216857,-123.129581,2105,72.66618674749596
811,50804,Eastbound W 41 Ave @ Oak St,BUS ZN,49.2338,-123.126888,2164,173.0914762065487
812,50805,Southbound Oak St @ W 41 Ave,BUS ZN,49.233541,-123.128231,2164,93.4833037787949
813,50806,Southbound Oak St @ W 43 Ave,BUS ZN,49.231779,-123.128278,2161,72.78047509189177
814,50807,Southbound Oak St @ W 46 Ave,BUS ZN,49.229046,-123.128376,2158,60.39069022466962
815,50808,Southbound Oak St @ W 49 Ave,BUS ZN,49.22616,-123.128478,2152,89.86614358097124
817,50810,Southbound Oak St @ W 54 Ave,BUS ZN,49.221231,-123.128635,2143,71.59521584869995
1701,51687,Northbound Rupert St @ Graveley St,BUS ZN,49.270822,-123.033606,6146,93.32120265211198
1703,51689,Northbound Rupert St @ William St,BUS ZN,49.274384,-123.03354,6153,58.10300317485268
1704,51690,Northbound Rupert St @ Parker St,BUS ZN,49.27613,-123.03352,6155,76.25213134355403
1706,51692,Eastbound Adanac St @ Skeena St,BUS ZN,49.277384,-123.029097,6351,113.39976407839787
1708,51694,Northbound Boundary Rd @ Georgia St,BUS ZN,49.278725,-123.023311,6545,84.78843561431735
1709,51695,Kootenay Loop @ Bay 3,BUS ZN,49.281408,-123.026254,6457,105.63951031597833
3022,52991,Southbound Boundary Rd @ Pandora St,BUS ZN,49.282683,-123.023697,6551,63.86611452062307
3021,52990,Southbound Boundary Rd @ Dundas St,BUS ZN,49.284524,-123.023659,6553,57.14923221816134
3020,52989,Southbound N Boundary Rd @ Cambridge St,BUS ZN,49.286231,-123.023627,6556,107.38377659939889
343,50339,Southbound Oak St @ Devonshire Cres,BUS ZN,49.244095,-123.127861,2176,85.90966039746013
12050,61825,Northbound Clarendon St @ E 33 Ave,BUS ZN,49.23952,-123.055375,5265,52.24448373808804
12057,61935,UBC Exchange @ Bay 7,BUS ZN,49.267419,-123.246831,1,3594.965249609192
234,50232,Southbound Main St @ National Ave,BUS ZN,49.274506,-123.100141,3275,97.1905196510053
235,50233,Main Street-Science World Station @ Bay 1,BUS ZN,49.273072,-123.100189,3271,71.73036233725706
236,50234,Southbound Main St @ Switchmen St,BUS ZN,49.270621,-123.100821,3245,43.79880747766399
230,50228,Eastbound E Cordova St @ Main St,BUS ZN,49.282229,-123.099988,3298,58.671239698232775
231,50229,Southbound Main St @ E Hastings St,BUS ZN,49.28081,-123.099812,3289,97.72944445418167
232,50230,Southbound Main St @ Keefer St,BUS ZN,49.279029,-123.099896,3285,93.94547184701918
1537,51525,Eastbound E King Edward Ave @ Knight St,BUS ZN,49.248429,-123.075675,4276,68.18398704220996
939,50931,Eastbound W Hastings St @ Homer St,BUS ZN,49.283054,-123.110546,2823,94.62836438772078
938,50930,Eastbound W Hastings St @ Seymour St,BUS ZN,49.284334,-123.112551,2765,85.2750948814496
932,50924,Westbound W Broadway @ Ash St,BUS ZN,49.26336,-123.118098,2593,91.63063215111198
10745,51967,Langara-49th Station @ Bay 3,BUS ZN,49.226003,-123.11584,2627,95.42486672687478
934,50926,Westbound W Broadway @ Willow St,BUS ZN,49.263433,-123.122318,2422,77.96358321680711
1754,51740,Northbound Boundary Rd @ Lougheed Hwy,BUS ZN,49.26604,-123.023373,6522,114.86501815588318
797,50790,Southbound Fraser St @ E 41 Ave,BUS ZN,49.232478,-123.090705,3668,93.73926627275863
796,50789,Southbound Fraser St @ E 39 Ave,BUS ZN,49.234521,-123.090651,3669,62.829118912330976
795,50788,Southbound Fraser St @ E 37 Ave,BUS ZN,49.236049,-123.090613,3670,82.83866805280167
794,50787,Southbound Fraser St @ E 35 Ave,BUS ZN,49.238045,-123.090514,3673,60.52591711103132
793,50786,Southbound Fraser St @ E 33 Ave,BUS ZN,49.239976,-123.090476,3674,75.17405552112406
792,58954,Southbound Fraser St @ E 31 Ave,BUS ZN,49.242261,-123.090417,3677,68.4343098432065
791,50784,Southbound Fraser St @ E 29 Ave,BUS ZN,49.244247,-123.090388,3679,71.59064475637977
790,50783,Southbound Fraser St @ E 27 Ave,BUS ZN,49.246305,-123.090308,3683,66.83741130462695
799,50792,Southbound Fraser St @ E 45 Ave,BUS ZN,49.228897,-123.090762,3665,64.51752046459887
798,50791,Southbound Fraser St @ E 43 Ave,BUS ZN,49.230719,-123.090713,3667,61.64655942035519
1139,51130,Eastbound E 41 Ave @ School Ave,BUS ZN,49.233197,-123.036985,5993,70.21661364066203
1138,51129,Eastbound E 41 Ave @ Kerr St,BUS ZN,49.232892,-123.039828,5881,57.686376770765854
1133,51124,Eastbound E 41 Ave @ Clarendon St,BUS ZN,49.232754,-123.054813,5266,83.68532410208643
1132,51123,Eastbound E 41 Ave @ Nanaimo St,BUS ZN,49.232788,-123.058373,5068,72.62528825717605
1131,51122,Eastbound E 41 Ave @ Gladstone St,BUS ZN,49.232817,-123.06167,4902,65.617116012893
1130,51121,Eastbound E 41 Ave @ Victoria Dr,BUS ZN,49.232713,-123.06505,4767,68.8104260160217
1137,51128,Eastbound E 41 Ave @ Rupert St,BUS ZN,49.23288,-123.042556,5769,77.78264695771756
1136,51127,Eastbound E 41 Ave @ Killarney St,BUS ZN,49.232892,-123.045427,5660,71.31858944062755
1135,51126,Eastbound E 41 Ave @ Earles St,BUS ZN,49.232715,-123.04831,5564,66.82041605924009
1134,51125,Eastbound E 41 Ave @ Wales St,BUS ZN,49.232722,-123.051214,5453,65.81392865534878
10454,59964,Northbound NW Marine Dr @ Agronomy Rd,BUS ZN,49.259575,-123.254983,3,5349.550569617448
689,50682,Westbound E Broadway @ Nanaimo St,BUS ZN,49.26234,-123.057336,5188,117.32937651571022
1573,51561,Southbound Nanaimo St @ E 28 Ave,BUS ZN,49.24547,-123.056785,5162,22.73077077322346
11793,61701,UBC Exchange @ Bay 10,BUS ZN,49.26581,-123.248129,3,3891.091235705016
11794,61702,UBC Exchange @ Bay 11,BUS ZN,49.265923,-123.247364,3,3777.5944379097928
1574,51562,Southbound Nanaimo St @ Brock St,BUS ZN,49.243673,-123.056787,5158,23.078883660620868
10357,59751,Westbound W 6th Ave @ Alder Crossing,BUS ZN,49.266199,-123.132576,1993,76.2352948572757
