id,unit,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
2297,N/A,594,DAVIE ST,Royal Vape Inc,Convenience Goods,49.27614294595592,-123.1252108170835,2285,80.18636362287178
2300,N/A,620,DAVIE ST,Manoush'eh,Food & Beverage,49.27661580200485,-123.12568082344094,2285,75.28939679048125
2307,N/A,700,DAVIE ST,Blenz Coffee,Food & Beverage,49.27722958008942,-123.1266680104921,2260,72.83054029821339
2308,N/A,708,DAVIE ST,Numero Uno Pizza,Food & Beverage,49.27722958008942,-123.1266680104921,2260,72.83054029821339
2309,N/A,712,DAVIE ST,BC Produce,Convenience Goods,49.27722958008942,-123.1266680104921,2260,72.83054029821339
2314,N/A,746,DAVIE ST,Body Energy Club Ltd,Convenience Goods,49.27735324868997,-123.12730553863715,2213,98.19415173919184
2321,N/A,809,DAVIE ST,Topdrawers Apparel Inc,Comparison Goods,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2323,N/A,819,DAVIE ST,Javan Exchange,Service Commercial,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2324,N/A,823,DAVIE ST,Ace High Barber Shop Ltd,Service Commercial,49.2783027028566,-123.12696559832357,2213,118.74783228850173
2330,N/A,855,DAVIE ST,Breka Bakery and Cafe Inc,Food & Beverage,49.27849937630124,-123.12749330080725,2165,96.48674658358118
2332,N/A,903,DAVIE ST,Sushi Mugen,Food & Beverage,49.27885882652114,-123.1280489155382,2165,99.79793384226926
2333,N/A,904,DAVIE ST,7-Eleven Store,Convenience Goods,49.27836105661689,-123.12856559763067,2165,62.09816779145996
2339,N/A,937,DAVIE ST,Vacant,Vacant,49.27908390295987,-123.12876943452235,2113,57.529261025690865
2350,N/A,450,GRANVILLE ST,Trees Organic Coffee Co,Food & Beverage,49.28473749608962,-123.11441549633143,2703,63.28929812460103
2356,N/A,480,GRANVILLE ST,Vacant,Vacant,49.28473749608962,-123.11441549633143,2703,63.28929812460103
2358,N/A,524,GRANVILLE ST,Moore's,Comparison Goods,49.28405605203843,-123.1151700269459,2703,141.51493228163136
2362,N/A,541,GRANVILLE ST,Subway,Food & Beverage,49.28436310165463,-123.11594244835692,2703,173.49580560002272
2363,N/A,545,GRANVILLE ST,Smak Healthy Fast Food,Food & Beverage,49.28436310165463,-123.11594244835692,2703,173.49580560002272
2367,N/A,574,GRANVILLE ST,Vacant,Vacant,49.28373930928332,-123.11564843483815,2661,105.69581623170004
2368,N/A,586,GRANVILLE ST,Shoppers Drug Mart #2277,Convenience Goods,49.28351997406178,-123.11598007755025,2661,52.529068239226575
2369,N/A,609,GRANVILLE ST,Meinhardt - Pacific Centre,Convenience Goods,49.28340057698826,-123.11775140601347,2605,198.3423875601542
2371,N/A,610,GRANVILLE ST,Steve Nash Fitness World,Entertainment and Leisure,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2372,N/A,620,GRANVILLE ST,Vacant,Vacant,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2375,N/A,640,GRANVILLE ST,Judith & Charles,Comparison Goods,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2377,N/A,670,GRANVILLE ST,FYI Eye Care Services,Comparison Goods,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2378,N/A,672,GRANVILLE ST,Mego,Comparison Goods,49.28312404797613,-123.11657971526182,2636,45.450268232373695
2379,N/A,674,GRANVILLE ST,Topshop,Comparison Goods,49.28253253952624,-123.11699539053087,2625,70.98146897982953
2382,R110,725,GRANVILLE ST,AllSaints,Comparison Goods,49.28224355654455,-123.11950088594357,2461,195.01251364327518
2387,R128,725,GRANVILLE ST,Microsoft Canada Inc,Comparison Goods,49.28224355654455,-123.11950088594357,2461,195.01251364327518
2388,R130,725,GRANVILLE ST,Disney Store Canada #788,Comparison Goods,49.28224355654455,-123.11950088594357,2461,195.01251364327518
2392,N/A,728,GRANVILLE ST,Tom Lee Music Co Ltd,Comparison Goods,49.28182378500203,-123.11771301621158,2612,87.1454795563421
2394,N/A,738,GRANVILLE ST,Trees Cheesecake,Convenience Goods,49.28184606128068,-123.1185132214996,2579,154.68893179398947
2395,N/A,742,GRANVILLE ST,O Sushi,Food & Beverage,49.28184606128068,-123.1185132214996,2579,154.68893179398947
2397,N/A,756,GRANVILLE ST,Sleep Country Canada Inc,Comparison Goods,49.28151188603057,-123.11901808141587,2515,120.20242786904927
2398,N/A,762,GRANVILLE ST,Claire's Boutique,Comparison Goods,49.28151188603057,-123.11901808141587,2515,120.20242786904927
2399,N/A,766,GRANVILLE ST,The Helly Hansen Store,Comparison Goods,49.28151188603057,-123.11901808141587,2515,120.20242786904927
2402,N/A,796,GRANVILLE ST,Cafe Crepe,Food & Beverage,49.28151188603057,-123.11901808141587,2515,120.20242786904927
2403,N/A,798,GRANVILLE ST,Best Buy,Comparison Goods,49.28151188603057,-123.11901808141587,2515,120.20242786904927
2409,N/A,829,GRANVILLE ST,Taf's Cafe,Food & Beverage,49.281226495734586,-123.12062831986367,2515,121.92613469855071
2412,N/A,833,GRANVILLE ST,Vacant,Vacant,49.281177817898296,-123.12070194523105,2515,135.13955903807806
2418,N/A,855,GRANVILLE ST,Vacant UC,Vacant UC,49.28091005558472,-123.12110696595094,2441,141.23310969688188
2426,N/A,898,GRANVILLE ST,Dr. Vape Smoke & Bongs,Convenience Goods,49.28020766702466,-123.12098925058666,2441,64.28623324868354
2427,N/A,900,GRANVILLE ST,Dublin Calling,Food & Beverage,49.279980625649976,-123.12133012425576,2441,73.13089628612515
2428,N/A,901,GRANVILLE ST,Cinema Public House,Food & Beverage,49.28036767774088,-123.12192807714487,2441,76.97109102489985
2431,N/A,911,GRANVILLE ST,Cavo Bar & Kitchen,Food & Beverage,49.28031897389923,-123.12200168614316,2441,86.45677767149294
2433,N/A,921,GRANVILLE ST,Speakeasy on Granville,Food & Beverage,49.28017285311342,-123.12222249574698,2441,122.0708526086709
2439,N/A,957,GRANVILLE ST,The Granville Room,Food & Beverage,49.279880611176175,-123.12266410279321,2376,147.8468894832098
2445,N/A,982,GRANVILLE ST,7-Eleven Canada Store #35667H,Convenience Goods,49.27920229771218,-123.12250837033133,2376,71.96847819516498
2451,N/A,998,GRANVILLE ST,Tim Horton's,Food & Beverage,49.27920229771218,-123.12250837033133,2376,71.96847819516498
2457,N/A,1011,GRANVILLE ST,La Loteria Mexican Street Food,Food & Beverage,49.279216167380355,-123.12366525869692,2376,97.08712068640114
2461,N/A,1019,GRANVILLE ST,Crave India,Food & Beverage,49.279216167380355,-123.12366525869692,2376,97.08712068640114
2463,N/A,1028,GRANVILLE ST,A & W Restaurant,Food & Beverage,49.27870877295325,-123.12325484307857,2376,126.53287165333465
2468,N/A,1049,GRANVILLE ST,The Mexican,Food & Beverage,49.27887516690173,-123.12418052750475,2304,161.81433608644016
2470,N/A,1051,GRANVILLE ST,Planet Rock,Convenience Goods,49.27887516690173,-123.12418052750475,2304,161.81433608644016
2472,N/A,1062,GRANVILLE ST,Thai Town Restaurant,Food & Beverage,49.27839223097704,-123.12373343815443,2304,131.65813133488928
2474,N/A,1075,GRANVILLE ST,King Royal Vape Shop,Convenience Goods,49.278652154660314,-123.12451744159561,2304,101.42454104291444
2479,N/A,1087,GRANVILLE ST,The Templeton,Food & Beverage,49.27853628692521,-123.12469250035392,2304,76.52398300718846
2481,N/A,1093,GRANVILLE ST,Oxygen Mart,Convenience Goods,49.27853628692521,-123.12469250035392,2304,76.52398300718846
2482,N/A,1097,GRANVILLE ST,XXX Adult Superstore,Entertainment and Leisure,49.27853628692521,-123.12469250035392,2304,76.52398300718846
2483,N/A,1100,GRANVILLE ST,Sniki Tiki,Food & Beverage,49.277800865087826,-123.12462651617916,2304,88.60661393033543
2484,N/A,1105,GRANVILLE ST,8th & Main,Comparison Goods,49.2782593368807,-123.12511110984043,2304,76.65826351320443
2487,N/A,1129,GRANVILLE ST,I-Exit Game Downtown Inc,Entertainment and Leisure,49.2780156773963,-123.12547918768693,2304,135.1322103176195
2491,N/A,1143,GRANVILLE ST,Triple M Buy & Sell,Comparison Goods,49.27791833417839,-123.12562657320146,2304,162.66269782600506
2497,N/A,1162,GRANVILLE ST,Vacant,Vacant,49.27719217158125,-123.12554647438049,2260,92.96233446903553
2498,N/A,1163,GRANVILLE ST,Cabana,Food & Beverage,49.277723778456505,-123.12592138681967,2260,134.21759886651182
2501,N/A,1173,GRANVILLE ST,Mr Greek Donair Town,Food & Beverage,49.277625975244895,-123.12606856182053,2260,108.26697998672294
2502,N/A,1175,GRANVILLE ST,"Grade ""A"" Steak & Seafood Rest",Food & Beverage,49.277577386707215,-123.12614205159947,2260,96.36264610840195
2512,N/A,1230,GRANVILLE ST,Vacant,Vacant,49.27662511607424,-123.1264027864483,2260,119.91074428215208
2513,N/A,1250,GRANVILLE ST,Enterprise Car Rentals,Automotive Goods & Services,49.27643024317205,-123.12669707294728,2209,170.6166374752409
2516,1,1256,GRANVILLE ST,Lions MMA,Entertainment and Leisure,49.27633297965912,-123.12684415734178,2209,141.55023720407874
2517,N/A,1259,GRANVILLE ST,Future Hair Training Centre,Service Commercial,49.27669392371297,-123.12747717840762,2160,131.81917850706134
2518,N/A,1265,GRANVILLE ST,Torizo Ramen,Food & Beverage,49.27657219859618,-123.12766090944993,2160,96.33942054272025
2519,N/A,1275,GRANVILLE ST,Spirit of Howe Lounge (aka Mango),Food & Beverage,49.276474944450385,-123.12780817662163,2160,69.84881972095997
2522,N/A,1294,GRANVILLE ST,7-Eleven Store,Convenience Goods,49.275991697173836,-123.12735905319141,2209,52.92921896522513
2527,N/A,1348,GRANVILLE ST,F45,Entertainment and Leisure,49.27562442353768,-123.12792346365256,2174,61.122874534818735
2534,N/A,433,HORNBY ST,Van Cha China Tea,Food & Beverage,49.28624846916131,-123.11674914416713,2624,72.74306484679853
2536,N/A,490,HORNBY ST,Tim Horton's,Food & Beverage,49.286022392094274,-123.11639925073582,2624,61.35404642791884
