id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors,crime_range,store_range,transit_range,rtransit_range,schools_range
3846,Junction,4,1.4299988630525065,-123.0856864,49.2129079,0,2,0,0,0,"[(3946, 184.4619371, 512), (3847, 101.7361534, 10291), (3842, 102.0689197, 10326), (3744, 178.3573269, 10352)]",10.092408425342889,2.37389592671883,1.2896317769881993,0.005549860837082842,0.11064707244676779
3847,Junction,4,0.0,-123.085681,49.21382304,0,0,0,0,0,"[(3948, 185.5758224, 511), (3848, 100.4506554, 10243), (3846, 101.7361534, 10291), (3749, 169.4439842, 10351)]",8.346453959746297,2.482986433241615,1.2674358785814874,0.0055725761068126925,0.12614063400080014
3848,Junction,3,0.9952785739952246,-123.0856749,49.21472661,0,2,0,0,0,"[(3947, 184.4820317, 510), (3847, 100.4506554, 10243), (3757, 160.9263306, 10350)]",9.228533388361498,2.6141969749196576,1.275476582434637,0.0056744098107280525,0.14504992038706027
3849,Junction,3,0.4129496711338881,-123.0857248,49.2485851,1,1,0,0,0,"[(3844, 118.7186238, 7232), (3839, 6.744177118, 10857), (3915, 134.5866326, 10858)]",12.262037484882786,12.55299336582649,3.243640426580618,0.014579137861887081,0.19546691325864624
3850,Junction,4,0.2993803913123313,-123.0857286,49.25093594,0,1,0,0,0,"[(3852, 100.223452, 6573), (3845, 100.5382364, 6671), (3779, 140.7874699, 10399), (3922, 140.7396241, 10835)]",13.153958915280773,14.18532632716484,2.0926458110570567,0.015795399158693792,0.19896383185913344
3851,Junction,3,0.536268225207185,-123.0856911,49.2402669,2,1,0,0,0,"[(3843, 224.6987334, 7911), (3827, 24.54540824, 10411), (3899, 81.0185699, 10844)]",9.178847458565027,6.484779662887271,3.891255814859883,0.010625813811308771,0.2599470906203964
3852,Junction,4,1.1478567472831367,-123.0856941,49.25183719,0,2,0,0,0,"[(3853, 100.4619299, 6468), (3850, 100.223452, 6573), (3780, 140.8228313, 10398), (3925, 140.7696585, 10834)]",14.52179819830849,15.918420929131639,2.1040944921130773,0.01641781548924577,0.19191087222869666
3853,Junction,4,0.2424166460445802,-123.0856604,49.25274059,0,1,0,0,0,"[(3854, 100.5719542, 6232), (3852, 100.4619299, 6468), (3781, 140.7825978, 10397), (3926, 140.8007746, 10833)]",14.679440721077553,19.01915300946896,2.1902457717828483,0.0170965104709043,0.19236812723349062
3854,Junction,4,0.3790183049324045,-123.0856295,49.25364503,0,2,2,0,0,"[(3855, 100.7641035, 6049), (3853, 100.5719542, 6232), (3782, 140.6025588, 10396), (3927, 140.9762034, 10832)]",16.851490051245108,24.620176353138817,2.4264487156550105,0.017899662120753983,0.2044240498397826
3855,Junction,3,1.85803024295788,-123.0855875,49.25455099,1,4,7,0,0,"[(3856, 19.76042107, 6048), (3854, 100.7641035, 6049), (3783, 141.2410381, 10395)]",18.586129053521287,32.79059925706937,3.1809904390896753,0.018851077446525026,0.20458277829014504
