id,type,street_count,vulnerability_score,longitude,latitude,transit_count,crime_count,stores_count,rtransit_count,schools_count,neighbors
69,Junction,3,0.0,-123.2087571,49.27290709,0,0,0,0,0,"[(70, 87.09013414, 1636), (68, 87.31776782, 1842), (46, 221.023822, 7601)]"
70,Junction,4,0.0,-123.2087279,49.27369025,0,0,0,0,0,"[(71, 83.21629788, 1440), (69, 87.09013414, 1636), (95, 221.1721729, 7460), (47, 221.1780397, 7576)]"
71,Junction,4,0.0,-123.2087007,49.27443858,1,0,0,0,0,"[(70, 83.21629788, 1440), (96, 228.6455736, 7503), (49, 230.7361226, 7615)]"
72,Dead end,1,0.0,-123.208682,49.27494842,0,0,0,0,0,
73,Dead end,1,0.0,-123.2078672,49.26980589,0,0,0,0,0,
74,Dead end,1,0.3054590259283046,-123.2078031,49.27042309,0,0,0,0,0,
75,Junction,3,0.0,-123.2076868,49.2689864,0,0,0,0,0,"[(90, 133.1115156, 7536), (65, 88.1252746, 7537)]"
76,Dead end,1,0.0,-123.207064,49.23604706,0,0,0,0,0,
77,Junction,3,0.0,-123.2062416,49.25824243,1,0,0,0,0,"[(78, 110.5868904, 5455), (108, 222.4326257, 7431), (52, 221.2618822, 7532)]"
78,Junction,4,0.0,-123.2062065,49.25923691,0,0,0,0,0,"[(79, 100.495335, 5264), (77, 110.5868904, 5455), (110, 221.3311389, 7430), (53, 221.266135, 7531)]"
79,Junction,4,0.0,-123.2061737,49.26014063,0,0,0,0,0,"[(80, 100.4600628, 4847), (78, 100.495335, 5264), (111, 221.26609, 7429), (54, 221.3345173, 7530)]"
80,Junction,4,0.0,-123.2061431,49.26104407,0,0,0,0,0,"[(81, 100.5906112, 4636), (79, 100.4600628, 4847), (113, 221.3172342, 7428), (55, 221.1885815, 7529)]"
81,Junction,4,0.0,-123.2061112,49.26194865,0,0,0,0,0,"[(82, 100.5278461, 4420), (80, 100.5906112, 4636), (114, 221.2697755, 7427), (56, 221.1522545, 7528)]"
82,Junction,4,0.7469285609085383,-123.2060781,49.26285266,0,2,0,0,0,"[(83, 102.6040479, 4220), (81, 100.5278461, 4420), (115, 221.1884005, 7426), (57, 221.1449072, 7527)]"
83,Junction,4,2.850425589839578,-123.2060456,49.26377536,2,8,52,0,0,"[(84, 98.46313361, 4020), (82, 102.6040479, 4220), (116, 221.1512959, 7425), (58, 221.1395183, 7526)]"
84,Junction,4,0.0,-123.2060142,49.26466081,0,0,0,0,0,"[(85, 96.3882444, 3828), (83, 98.46313361, 4020), (117, 221.093357, 7440), (60, 221.1639516, 7542)]"
85,Junction,4,0.0,-123.2059835,49.26552761,0,0,0,0,0,"[(86, 94.77685495, 3622), (84, 96.3882444, 3828), (118, 220.9863919, 7439), (61, 221.1575702, 7541)]"
86,Junction,3,0.0,-123.2059527,49.2663799,0,0,0,0,0,"[(87, 94.94065326, 3411), (85, 94.77685495, 3622), (62, 221.1087245, 7540)]"
87,Junction,4,0.0,-123.2059221,49.26723368,0,0,0,0,0,"[(88, 94.81263273, 3162), (86, 94.94065326, 3411), (119, 221.1265679, 7438), (63, 221.1175241, 7539)]"
88,Junction,3,0.8737752883483896,-123.2058899,49.26808627,0,2,0,0,1,"[(90, 96.87112616, 2954), (87, 94.81263273, 3162), (64, 221.1608011, 7538)]"
89,Junction,2,0.0,-123.2057505,49.23694286,2,0,0,0,0,"[(102, 118.6445513, 7515)]"
90,Junction,4,0.0,-123.2058576,49.26895739,2,0,0,0,0,"[(91, 130.8532438, 2488), (88, 96.87112616, 2954), (120, 233.4468433, 7437), (75, 133.1115156, 7536)]"
91,Junction,4,0.0,-123.2058153,49.27013411,0,0,0,0,0,"[(92, 128.5780146, 2288), (90, 130.8532438, 2488), (98, 51.45968411, 7436)]"
