COUNT;Geo Local Area;Geom;geo_point_2d
4;Kitsilano;"{""coordinates"": [-123.171991170862, 49.2681495244309], ""type"": ""Point""}";49.2681495244309, -123.171991170862
1;West End;"{""coordinates"": [-123.132858149311, 49.2818039979429], ""type"": ""Point""}";49.2818039979429, -123.132858149311
7;Kensington-Cedar Cottage;"{""coordinates"": [-123.080311858695, 49.2519365187115], ""type"": ""Point""}";49.2519365187115, -123.080311858695
7;Strathcona;"{""coordinates"": [-123.078053340417, 49.2806410505462], ""type"": ""Point""}";49.2806410505462, -123.078053340417
1;Renfrew-Collingwood;"{""coordinates"": [-123.045342398267, 49.2423935068238], ""type"": ""Point""}";49.2423935068238, -123.045342398267
3;Strathcona;"{""coordinates"": [-123.098564093542, 49.2800975023351], ""type"": ""Point""}";49.2800975023351, -123.098564093542
1;Strathcona;"{""coordinates"": [-123.096633239836, 49.2809781151225], ""type"": ""Point""}";49.2809781151225, -123.096633239836
1;Fairview;"{""coordinates"": [-123.143472684944, 49.2699927309809], ""type"": ""Point""}";49.2699927309809, -123.143472684944
1;Mount Pleasant;"{""coordinates"": [-123.103838555463, 49.2680038158819], ""type"": ""Point""}";49.2680038158819, -123.103838555463
1;Strathcona;"{""coordinates"": [-123.09374833037, 49.2837197387199], ""type"": ""Point""}";49.2837197387199, -123.09374833037
5;West Point Grey;"{""coordinates"": [-123.209739021674, 49.263547241979], ""type"": ""Point""}";49.263547241979, -123.209739021674
10;Kitsilano;"{""coordinates"": [-123.15839737642, 49.2679550088335], ""type"": ""Point""}";49.2679550088335, -123.15839737642
2;Grandview-Woodland;"{""coordinates"": [-123.075802214142, 49.2769900829369], ""type"": ""Point""}";49.2769900829369, -123.075802214142
3;Mount Pleasant;"{""coordinates"": [-123.114425727817, 49.2633793399522], ""type"": ""Point""}";49.2633793399522, -123.114425727817
1;Renfrew-Collingwood;"{""coordinates"": [-123.044837832451, 49.2358711545301], ""type"": ""Point""}";49.2358711545301, -123.044837832451
1;Kensington-Cedar Cottage;"{""coordinates"": [-123.0649820043, 49.2396665593857], ""type"": ""Point""}";49.2396665593857, -123.0649820043
1;Riley Park;"{""coordinates"": [-123.109610252876, 49.2502844993794], ""type"": ""Point""}";49.2502844993794, -123.109610252876
1;Kitsilano;"{""coordinates"": [-123.154862271942, 49.2705398671508], ""type"": ""Point""}";49.2705398671508, -123.154862271942
