ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d
250S Skeena St;Public School;Sir John Franklin Community;"{""coordinates"": [-123.02758566, 49.28249619606777], ""type"": ""Point""}";Hastings-Sunrise;49.2824961961, -123.02758566
1430 Lillooet St;Public School;Sir Matthew Begbie Elementary;"{""coordinates"": [-123.03801003712412, 49.27183079984159], ""type"": ""Point""}";Hastings-Sunrise;49.2718307998, -123.038010037
590 W 65th Av;Public School;Sir Wilfrid Laurier Annex;"{""coordinates"": [-123.11944529999998, 49.210717995067405], ""type"": ""Point""}";Marpole;49.2107179951, -123.1194453
5970 Selkirk St;Public School;Sir William Osler Elementary;"{""coordinates"": [-123.13266216000001, 49.23076242206749], ""type"": ""Point""}";Oakridge;49.2307624221, -123.13266216
5351 Camosun St;Public School;Southlands Elementary;"{""coordinates"": [-123.19781516, 49.23813758506754], ""type"": ""Point""}";Dunbar-Southlands;49.2381375851, -123.19781516
450 E 47th Av;Independent School;St Andrew's;"{""coordinates"": [-123.09585589038312, 49.22721361145612], ""type"": ""Point""}";Sunset;49.2272136115, -123.09585589
2145 W 8th Av;Independent School;St Augustine's;"{""coordinates"": [-123.15355224259545, 49.26517255153582], ""type"": ""Point""}";Kitsilano;49.2651725515, -123.153552243
870 Victoria Drive;Independent School;St Francis of Assisi;"{""coordinates"": [-123.06504858875364, 49.276881634743646], ""type"": ""Point""}";Grandview-Woodland;49.2768816347, -123.065048589
4175 W 29th Av;Independent School;St George's School;"{""coordinates"": [-123.19846496388473, 49.24758226745896], ""type"": ""Point""}";Dunbar-Southlands;49.2475822675, -123.198464964
3261 Fleming St;Independent School;St Joseph's;"{""coordinates"": [-123.0716470523458, 49.255914408245054], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2559144082, -123.071647052
2953 E 15th Av;Independent School;St Jude's;"{""coordinates"": [-123.04262672835044, 49.256545786691255], ""type"": ""Point""}";Renfrew-Collingwood;49.2565457867, -123.042626728
727 Templeton Drive;Public School;Templeton Secondary;"{""coordinates"": [-123.06069106000001, 49.278439093067725], ""type"": ""Point""}";Grandview-Woodland;49.2784390931, -123.06069106
5400 Cartier St;Independent School;Vancouver College DL;"{""coordinates"": [-123.1361713344514, 49.23495941876865], ""type"": ""Point""}";Shaughnessy;49.2349594188, -123.136171334
5621 Killarney St;Independent School;Vancouver Formosa Academy;"{""coordinates"": [-123.04636736023019, 49.233747421132286], ""type"": ""Point""}";Renfrew-Collingwood;49.2337474211, -123.04636736
2600 E Broadway;Public School;Vancouver Technical Secondary;"{""coordinates"": [-123.05129983999998, 49.260755475067654], ""type"": ""Point""}";Renfrew-Collingwood;49.2607554751, -123.05129984
1000 E 59th Av;StrongStart BC;Walter Moberly StrongStart Centre;"{""coordinates"": [-123.08434542, 49.216109230067424], ""type"": ""Point""}";Sunset;49.2161092301, -123.08434542
6111 Elliott St;Public School;Waverley Elementary;"{""coordinates"": [-123.05578593, 49.22783722506748], ""type"": ""Point""}";Victoria-Fraserview;49.2278372251, -123.05578593
6111 Elliott St;StrongStart BC;Waverley StrongStart Centre;"{""coordinates"": [-123.05578593, 49.22783722506748], ""type"": ""Point""}";Victoria-Fraserview;49.2278372251, -123.05578593
4157 Oak St;Independent School;Westside Montessori;"{""coordinates"": [-123.1280001050362, 49.24857412675284], ""type"": ""Point""}";Shaughnessy;49.2485741268, -123.128000105
3155 E 27th Av;Public School;Windermere Community Secondary;"{""coordinates"": [-123.0371743, 49.246512456067585], ""type"": ""Point""}";Renfrew-Collingwood;49.2465124561, -123.0371743
3274 East Boulevard;Independent School;York House Little School;"{""coordinates"": [-123.152101, 49.25670999906763], ""type"": ""Point""}";Shaughnessy;49.2567099991, -123.152101
3400 Balaclava St;Public School;Carnarvon Community Elementary;"{""coordinates"": [-123.17355723856548, 49.25658742134096], ""type"": ""Point""}";Arbutus-Ridge;49.2565874213, -123.173557239
6955 Frontenac St;Public School;Champlain Heights Community Elementary;"{""coordinates"": [-123.02774835, 49.22064030106746], ""type"": ""Point""}";Killarney;49.2206403011, -123.02774835
1010 E 17th Av;Public School;Charles Dickens Elementary;"{""coordinates"": [-123.08239063270196, 49.254854500002445], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2548545, -123.082390633
2684 E 2nd Av;Public School;Chief Maquinna Elementary;"{""coordinates"": [-123.05058984, 49.26788631306769], ""type"": ""Point""}";Hastings-Sunrise;49.2678863131, -123.05058984
3417 Euclid Av;StrongStart BC;Collingwood StrongStart Centre;"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}";Renfrew-Collingwood;49.2363485991, -123.032313
1580 W Broadway;Public School;Continuing Ed SD 39;"{""coordinates"": [-123.14026052001878, 49.26329988232251], ""type"": ""Point""}";Fairview;49.2632998823, -123.14026052
8370 Cartier St;Public School;David Lloyd George Elementary;"{""coordinates"": [-123.13634890999998, 49.209962411067416], ""type"": ""Point""}";Marpole;49.2099624111, -123.13634891
7455 Maple St;Public School;Dr R E McKechnie Elementary;"{""coordinates"": [-123.15401133, 49.21770658906743], ""type"": ""Point""}";Kerrisdale;49.2177065891, -123.15401133
5025 Willow St;Public School;Eric Hamber Secondary;"{""coordinates"": [-123.12579095999999, 49.23963096106753], ""type"": ""Point""}";South Cambie;49.2396309611, -123.12579096
900 School Green;Public School;False Creek Elementary;"{""coordinates"": [-123.12685921, 49.26710311106769], ""type"": ""Point""}";Fairview;49.2671031111, -123.12685921
2740 Guelph St;StrongStart BC;Florence Nightingale StrongStart Centre;"{""coordinates"": [-123.09371757, 49.260059324067655], ""type"": ""Point""}";Mount Pleasant;49.2600593241, -123.09371757
1025 Slocan St;Public School;Garibaldi Annex;"{""coordinates"": [-123.05026876999999, 49.27541639106772], ""type"": ""Point""}";Hastings-Sunrise;49.2754163911, -123.05026877
3745 W 28th Av;Independent School;Immaculate Conception School;"{""coordinates"": [-123.18770751925071, 49.24759061248421], ""type"": ""Point""}";Dunbar-Southlands;49.2475906125, -123.187707519
801 E 54th Av;StrongStart BC;John Henderson StrongStart Centre;"{""coordinates"": [-123.08804322, 49.22104214306744], ""type"": ""Point""}";Sunset;49.2210421431, -123.08804322
3250 W 43rd Av;Public School;Kerrisdale Annex;"{""coordinates"": [-123.177405, 49.232867999067516], ""type"": ""Point""}";Kerrisdale;49.2328679991, -123.177405
