ADDRESS;SCHOOL_CATEGORY;SCHOOL_NAME;Geom;Geo Local Area;geo_point_2d
3939 W 16th Av;Public School;Lord Byng Secondary;"{""coordinates"": [-123.1925309529982, 49.259566550086106], ""type"": ""Point""}";West Point Grey;49.2595665501, -123.192530953
2235 Kitchener St;Public School;Lord Nelson Elementary;"{""coordinates"": [-123.05971209, 49.27250773706771], ""type"": ""Point""}";Grandview-Woodland;49.2725077371, -123.05971209
2235 Kitchener St;StrongStart BC;Lord Nelson StrongStart Centre;"{""coordinates"": [-123.05971209, 49.27250773706771], ""type"": ""Point""}";Grandview-Woodland;49.2725077371, -123.05971209
1750 E 22nd Av;StrongStart BC;Lord Selkirk StrongStart Centre;"{""coordinates"": [-123.06900705, 49.249691952067586], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2496919521, -123.06900705
6360 Maple St;Public School;Magee Secondary;"{""coordinates"": [-123.15153798760876, 49.22855386506042], ""type"": ""Point""}";Kerrisdale;49.2285538651, -123.151537988
3375 Nootka St;Public School;Nootka Community Elementary;"{""coordinates"": [-123.04294917, 49.25359297006762], ""type"": ""Point""}";Renfrew-Collingwood;49.2535929701, -123.04294917
2880 Venables St;Independent School;Notre Dame Regional Secondary;"{""coordinates"": [-123.04556662808874, 49.275802839348714], ""type"": ""Point""}";Hastings-Sunrise;49.2758028393, -123.045566628
575 Slocan St;Independent School;Our Lady of Sorrows;"{""coordinates"": [-123.05015370472844, 49.27957121602082], ""type"": ""Point""}";Hastings-Sunrise;49.279571216, -123.050153705
2409 E Pender St;Independent School;PALS Autism School;"{""coordinates"": [-123.05595432992459, 49.28051480952856], ""type"": ""Point""}";Hastings-Sunrise;49.2805148095, -123.05595433
4196 W 4th Av;Independent School;Pacific Spirit School;"{""coordinates"": [-123.1982460233882, 49.267667982326586], ""type"": ""Point""}";West Point Grey;49.2676679823, -123.198246023
5750 Oak St;Independent School;Pacific Torah Institute International;"{""coordinates"": [-123.12761225509908, 49.23342156632536], ""type"": ""Point""}";Oakridge;49.2334215663, -123.127612255
449 E 62nd Av;Public School;Pierre Elliott Trudeau Elementary;"{""coordinates"": [-123.096959, 49.21445400406743], ""type"": ""Point""}";Sunset;49.2144540041, -123.096959
3417 Euclid Av;Public School;Prov. Early Intervention Resource Prg;"{""coordinates"": [-123.032313, 49.23634859906753], ""type"": ""Point""}";Renfrew-Collingwood;49.2363485991, -123.032313
1300 E Broadway;StrongStart BC;Queen Alexandra StrongStart Centre;"{""coordinates"": [-123.07592057, 49.261970549067655], ""type"": ""Point""}";Kensington-Cedar Cottage;49.2619705491, -123.07592057
4275 Crown St;Public School;Queen Elizabeth Annex;"{""coordinates"": [-123.19469107, 49.24893677906758], ""type"": ""Point""}";Dunbar-Southlands;49.2489367791, -123.19469107
2000 Trimble St;Public School;Queen Mary Elementary;"{""coordinates"": [-123.20479699, 49.26785642206768], ""type"": ""Point""}";West Point Grey;49.2678564221, -123.20479699
1025 Slocan St;Public School;SD 39 DL Elementary;"{""coordinates"": [-123.05026876999999, 49.27541639106772], ""type"": ""Point""}";Hastings-Sunrise;49.2754163911, -123.05026877
2150 Brigadoon Av;Public School;Sir James Douglas Elementary;"{""coordinates"": [-123.0646531767478, 49.21604932869144], ""type"": ""Point""}";Victoria-Fraserview;49.2160493287, -123.064653177
