Geom,Geo Local Area,id,address,category,name,latitude,longitude,junction_id,junction_dst
"{""coordinates"": [-123.20112784000001, 49.257791772067634], ""type"": ""Point""}",Dunbar-Southlands,78,4102 W 16th Av,Public School,Norma Rose Point School,49.2577917721,-123.20112784,137,80.63498534948435
"{""coordinates"": [-123.15953565, 49.24498305306758], ""type"": ""Point""}",Arbutus-Ridge,79,2250 Eddington Drive,Public School,Prince of Wales Secondary,49.2449830531,-123.15953565,1019,68.42198359693553
"{""coordinates"": [-123.07592057, 49.261970549067655], ""type"": ""Point""}",Kensington-Cedar Cottage,80,1300 E Broadway,Public School,Queen Alexandra Elementary,49.2619705491,-123.07592057,4310,50.94244179276683
"{""coordinates"": [-123.10819689943345, 49.25717135541721], ""type"": ""Point""}",Mount Pleasant,81,100 W 15th Av,Public School,Simon Fraser Elementary,49.2571713554,-123.108196899,2943,95.19078394974767
"{""coordinates"": [-123.08671432, 49.23453643506752], ""type"": ""Point""}",Kensington-Cedar Cottage,82,960 E 39th Av,StrongStart BC,Sir Alexander Mackenzie StrongStart,49.2345364351,-123.08671432,3814,84.07996911589224
"{""coordinates"": [-123.0557042, 49.221596673067474], ""type"": ""Point""}",Victoria-Fraserview,83,6901 Elliott St,Public School,Sir Charles Kingsford-Smith,49.2215966731,-123.0557042,5285,76.89733862598912
"{""coordinates"": [-123.07329351, 49.214830464067425], ""type"": ""Point""}",Victoria-Fraserview,84,7668 Borden St,Public School,Sir James Douglas Annex,49.2148304641,-123.07329351,4371,58.50245137062226
"{""coordinates"": [-123.08495018892324, 49.241944229212045], ""type"": ""Point""}",Kensington-Cedar Cottage,85,4750 St. Catherines St,Public School,Sir Richard McBride Annex,49.2419442292,-123.084950189,3830,80.56892338895848
"{""coordinates"": [-123.07657409, 49.22574768906748], ""type"": ""Point""}",Victoria-Fraserview,86,1401 E 49th Av,Public School,Sir Sandford Fleming Elementary,49.2257476891,-123.07657409,4224,72.12475207704239
"{""coordinates"": [-123.0348073745407, 49.242891620676865], ""type"": ""Point""}",Renfrew-Collingwood,87,3323 Wellington Av,StrongStart BC,Sir Wilfred Grenfell StrongStart Centre,49.2428916207,-123.034807375,6072,98.44099239477765
"{""coordinates"": [-123.09452064422761, 49.26646231107508], ""type"": ""Point""}",Mount Pleasant,88,428 Great Northern Way,Independent School,St Francis Xavier,49.2664623111,-123.094520644,3508,39.68785266663401
"{""coordinates"": [-123.14789881614395, 49.2640409804403], ""type"": ""Point""}",Kitsilano,89,1885 W Broadway,Independent School,St John's International,49.2640409804,-123.147898816,1363,36.32889500047791
"{""coordinates"": [-123.06946327228026, 49.257469215545306], ""type"": ""Point""}",Kensington-Cedar Cottage,90,3000 Commercial Drive,Independent School,Stratford Hall,49.2574692155,-123.069463272,4553,40.822338655391924
"{""coordinates"": [-123.07309884, 49.23711627206752], ""type"": ""Point""}",Kensington-Cedar Cottage,91,1551 E 37th Av,Public School,Tecumseh Annex,49.2371162721,-123.07309884,4436,43.43430328940264
"{""coordinates"": [-123.06800394, 49.2320557420675], ""type"": ""Point""}",Victoria-Fraserview,92,1850 E 41st Av,Public School,Tecumseh Elementary,49.2320557421,-123.06800394,4607,80.74282752066387
"{""coordinates"": [-123.11344354347607, 49.27757064431133], ""type"": ""Point""}",Downtown,93,788 Beatty St,Independent School,The Westside School,49.2775706443,-123.113443543,2723,37.947512256778495
