stop_code,stop_id,stop_name,zone_id,latitude,longitude,junction_id,junction_dst
50154,154,Northbound Main St @ E 43 Ave,BUS ZN,49.231454,-123.101306,3197,21.234536764592573
50157,157,Westbound W 41 Ave @ Ontario St,BUS ZN,49.233269,-123.106197,3003,42.480958912217886
50158,158,Westbound W 41 Ave @ Columbia St,BUS ZN,49.233442,-123.11122,2831,38.41312253097207
60825,10374,VCC-Clark Station @ Platform 2,ZN 1,49.265799,-123.079054,4134,35.27861614130522
60824,10375,VCC-Clark Station @ Platform 1,ZN 1,49.265873,-123.079049,4134,29.364258038992496
59783,10371,Northbound Boundary Rd @ E Kent Ave North,BUS ZN,49.203898,-123.023178,6560,16.347512556564155
60014,10513,Westbound Expo Blvd @ Nelson St,BUS ZN,49.274765,-123.116234,2658,22.281458229118048
50683,690,Southbound Nanaimo St @ E Broadway,BUS ZN,49.261831,-123.056764,5188,37.103535013707905
58130,8860,Rupert Station @ Bay 1,BUS ZN,49.260804,-123.033608,6134,120.67605405299567
50811,818,Southbound Oak St @ W 57 Ave,BUS ZN,49.218926,-123.128765,2141,33.28190021267934
50812,819,Southbound Oak St @ W 59 Ave,BUS ZN,49.216857,-123.129581,2105,36.33314355831238
50804,811,Eastbound W 41 Ave @ Oak St,BUS ZN,49.2338,-123.126888,2164,86.54585764313909
50805,812,Southbound Oak St @ W 41 Ave,BUS ZN,49.233541,-123.128231,2164,46.74171645113533
50806,813,Southbound Oak St @ W 43 Ave,BUS ZN,49.231779,-123.128278,2161,36.390287810156984
50807,814,Southbound Oak St @ W 46 Ave,BUS ZN,49.229046,-123.128376,2158,30.19538682017013
50808,815,Southbound Oak St @ W 49 Ave,BUS ZN,49.22616,-123.128478,2152,44.93313385465048
50810,817,Southbound Oak St @ W 54 Ave,BUS ZN,49.221231,-123.128635,2143,35.79765736940395
51687,1701,Northbound Rupert St @ Graveley St,BUS ZN,49.270822,-123.033606,6146,46.66066577538039
51689,1703,Northbound Rupert St @ William St,BUS ZN,49.274384,-123.03354,6153,29.05154171513031
51690,1704,Northbound Rupert St @ Parker St,BUS ZN,49.27613,-123.03352,6155,38.12611833363979
51692,1706,Eastbound Adanac St @ Skeena St,BUS ZN,49.277384,-123.029097,6351,56.699960355061
51694,1708,Northbound Boundary Rd @ Georgia St,BUS ZN,49.278725,-123.023311,6545,42.39427636357678
51695,1709,Kootenay Loop @ Bay 3,BUS ZN,49.281408,-123.026254,6457,52.819828115419746
52991,3022,Southbound Boundary Rd @ Pandora St,BUS ZN,49.282683,-123.023697,6551,31.933101367850618
52990,3021,Southbound Boundary Rd @ Dundas St,BUS ZN,49.284524,-123.023659,6553,28.574655577475653
52989,3020,Southbound N Boundary Rd @ Cambridge St,BUS ZN,49.286231,-123.023627,6556,53.691962461363225
50339,343,Southbound Oak St @ Devonshire Cres,BUS ZN,49.244095,-123.127861,2176,42.954889530497994
61825,12050,Northbound Clarendon St @ E 33 Ave,BUS ZN,49.23952,-123.055375,5265,26.122277950733263
50232,234,Southbound Main St @ National Ave,BUS ZN,49.274506,-123.100141,3275,48.59532694800156
50233,235,Main Street-Science World Station @ Bay 1,BUS ZN,49.273072,-123.100189,3271,35.86523070729175
