Unit,id,civic_number,street_name,name,category,latitude,longitude,junction_id,junction_dst
N/A,285,2176,W BROADWAY,Evelyn's Coffee,Food & Beverage,49.2635550464648,-123.15501366368088,1122,39.19959758280724
N/A,290,2188,W BROADWAY,MacDonald's Prescriptions,Convenience Goods,49.2635550464648,-123.15501366368088,1122,39.19959758280724
N/A,291,2190,W BROADWAY,Liberty Tax Service,Service Commercial,49.2635550464648,-123.15501366368088,1122,39.19959758280724
N/A,292,2192,W BROADWAY,Vancouver Battery,Comparison Goods,49.2635550464648,-123.15501366368088,1122,39.19959758280724
N/A,294,2205,W BROADWAY,Dr. Patrick Woo,Service Commercial,49.26416885582568,-123.15584301403317,1122,53.18807888154811
N/A,300,2221,W BROADWAY,Broadway/Yew Chiropractor,Service Commercial,49.26416885582568,-123.15584301403317,1122,53.18807888154811
N/A,302,2230,W BROADWAY,Highroads Medical Clinic,Service Commercial,49.263581758671705,-123.15659922212043,1063,84.0804912009649
N/A,303,2230,W BROADWAY,London Drugs,Convenience Goods,49.263581758671705,-123.15659922212043,1063,84.0804912009649
N/A,308,2286,W BROADWAY,IGA,Convenience Goods,49.263581758671705,-123.15659922212043,1063,84.0804912009649
N/A,312,2295,W BROADWAY,Popeyes Supplements,Convenience Goods,49.26420399369567,-123.15720296978054,1063,46.976287780884924
N/A,313,2299,W BROADWAY,Novus Glass,Automotive Goods & Services,49.264193944431554,-123.15741293486633,1063,37.06381341207183
N/A,316,2308,W BROADWAY,Valentino's Barbershop,Service Commercial,49.26360169546262,-123.15792113460941,1063,38.437130288684386
N/A,320,1616,W BROADWAY,Suika,Food & Beverage,49.26333786916774,-123.14148294285842,1618,47.69976258921178
N/A,323,1635,W BROADWAY,Georgia Straight,Service Commercial,49.26394476037473,-123.14187846552224,1618,72.35590162876743
N/A,324,1636,W BROADWAY,Manila Express,Service Commercial,49.26334459254321,-123.14190147955438,1618,72.5220202566991
N/A,325,1640,W BROADWAY,QQ Sushi,Food & Beverage,49.26334459254321,-123.14190147955438,1618,72.5220202566991
104,331,1668,W BROADWAY,FYI Doctors,Service Commercial,49.26335130902736,-123.14231999847745,1535,84.17929713706118
108,333,1668,W BROADWAY,Royal Nails,Service Commercial,49.26335130902736,-123.14231999847745,1535,84.17929713706118
N/A,337,1701,W BROADWAY,RGF Wealth Management,Service Commercial,49.26398769982926,-123.1437032579386,1535,42.720336040255795
N/A,343,1740,W BROADWAY,Bed Bath & Beyond,Comparison Goods,49.263382898713026,-123.14427078222364,1535,72.59172025595082
102,346,1755,W BROADWAY,West Broadway Dentist,Service Commercial,49.26399304628837,-123.14487613480941,1450,70.38501779862855
